id,name,type1,type2,firstability,secondability,weight,height,dexdescription,generacion,imagen
1,bulbasaur,planta,veneno,overgrow,chlorophyll,6.9,0.7,Una rara semilla le fue plantada en el lomo al nacer. La planta brota y crece con este Pokémon.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/001.png
2,ivysaur,planta,veneno,overgrow,chlorophyll,13.0,1.0,"Este Pokémon tiene un bulbo en el lomo. Dicen que, al absorber nutrientes, el bulbo se transforma en una flor grande.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/002.png
3,venusaur,planta,veneno,overgrow,chlorophyll,100.0,2.0,Llena su cuerpo de energía con los rayos solares que captan los anchos pétalos de su flor.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/003.png
4,charmander,fuego,None,blaze,solar-power,8.5,0.6,La llama de su cola indica la fuerza vital de Charmander. Será brillante si está sano.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/004.png
5,charmeleon,fuego,None,blaze,solar-power,19.0,1.1,"Suele usar la cola para derribar a su rival. Cuando lo tira, se vale de sus afiladas garras para acabar con él.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/005.png
6,charizard,fuego,volador,blaze,solar-power,90.5,1.7,"Cuando lanza una descarga de fuego supercaliente, la roja llama de su cola brilla más intensamente.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/006.png
7,squirtle,agua,None,torrent,rain-dish,9.0,0.5,Se protege con su caparazón y luego contraataca lanzando agua a presión cuando tiene oportunidad.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/007.png
8,wartortle,agua,None,torrent,rain-dish,22.5,1.0,"Si es golpeado, esconderá su cabeza. Aun así, su cola puede seguir golpeando.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/008.png
9,blastoise,agua,None,torrent,rain-dish,85.5,1.6,"Para acabar con su enemigo, lo aplasta con el peso de su cuerpo. En momentos de apuro, se esconde en el caparazón.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/009.png
10,caterpie,bicho,None,shield-dust,run-away,2.9,0.3,"Para protegerse despide un hedor horrible de sus antenas, con el que repele a sus enemigos.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/010.png
11,metapod,bicho,None,shed-skin,None,9.9,0.7,Su frágil cuerpo está recubierto de una coraza dura como el acero. Permanece quieto en su desarrollo.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/011.png
12,butterfree,bicho,volador,compound-eyes,tinted-lens,32.0,1.1,Adora el néctar de las flores. Puede localizar hasta las más pequeñas cantidades de polen.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/012.png
13,weedle,bicho,veneno,shield-dust,run-away,3.2,0.3,Suele habitar bosques y praderas. Tiene un afilado y venenoso aguijón de unos 5 cm encima de la cabeza.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/013.png
14,kakuna,bicho,veneno,shed-skin,None,10.0,0.6,"Casi incapaz de moverse, este Pokémon solo puede endurecer su caparazón para protegerse.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/014.png
15,beedrill,bicho,veneno,swarm,sniper,29.5,1.0,Tiene 3 aguijones venenosos en sus patas y cola. Suelen pinchar a sus enemigos repetidas veces.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/015.png
16,pidgey,normal,volador,keen-eye,tangled-feet,1.8,0.3,Muy común en bosques y selvas. Aletea al nivel del suelo para levantar la gravilla.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/016.png
17,pidgeotto,normal,volador,keen-eye,tangled-feet,30.0,1.1,Tiene unas garras desarrolladas. Puede atrapar un Exeggcute y transportarlo desde una distancia de casi 100 km.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/017.png
18,pidgeot,normal,volador,keen-eye,tangled-feet,39.5,1.5,"Cuando caza, vuela muy deprisa a ras del agua y sorprende a inocentes presas como Magikarp.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/018.png
19,rattata,normal,None,run-away,guts,3.5,0.3,"Vive allí donde haya comida disponible. Busca todo el día, sin descanso, algo comestible.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/019.png
20,raticate,normal,None,run-away,guts,18.5,0.7,Lima sus colmillos royendo objetos duros. Con ellos puede destruir incluso paredes de hormigón.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/020.png
21,spearow,normal,volador,keen-eye,sniper,2.0,0.3,"Muy protector de su territorio, mueve sus cortas alas sin descanso para lanzarse a toda velocidad.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/021.png
22,fearow,normal,volador,keen-eye,sniper,38.0,1.2,"Con sus enormes y magníficas alas, puede seguir volando sin tener que aterrizar para descansar.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/022.png
23,ekans,veneno,None,intimidate,shed-skin,6.9,2.0,"Cuanto más viejo, más crece este Pokémon. Por la noche, descansa en las ramas de los árboles.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/023.png
24,arbok,veneno,None,intimidate,shed-skin,65.0,3.5,El dibujo que tiene en la panza aterroriza. Los rivales más débiles salen huyendo al verlo.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/024.png
25,pikachu,eléctrico,None,static,lightning-rod,6.0,0.4,"Levanta su cola para vigilar los alrededores. A veces, puede ser alcanzado por un rayo en esa pose.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/025.png
26,raichu,eléctrico,None,static,lightning-rod,30.0,0.8,"Cuando se carga de electricidad, sus músculos se tensan y se vuelve más agresivo de lo normal.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/026.png
27,sandshrew,tierra,None,sand-veil,sand-rush,12.0,0.6,"Este Pokémon permanece bajo tierra. Si se siente amenazado, se enrosca para defenderse.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/027.png
28,sandslash,tierra,None,sand-veil,sand-rush,29.5,1.0,"Si cava a gran velocidad, puede que se le caigan las garras y púas. Vuelven a crecerle en un día.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/028.png
29,nidoran-f,veneno,None,poison-point,rivalry,7.0,0.4,"Aunque pequeñas, sus venenosas púas son muy peligrosas. Tienen un cuerno más pequeño que los machos.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/029.png
30,nidorina,veneno,None,poison-point,rivalry,20.0,0.8,Tiene un carácter afable. Emite ondas ultrasónicas para confundir al enemigo.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/030.png
31,nidoqueen,veneno,tierra,poison-point,rivalry,60.0,1.3,Usa su cuerpo duro y escamoso para sellar la entrada a su madriguera y protegerse de los depredadores.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/031.png
32,nidoran,veneno,None,poison-point,rivalry,9.0,0.5,Saca las orejas por encima de la hierba para explorar el territorio. Le protege su cuerno venenoso.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/032.png
33,nidorino,veneno,None,poison-point,rivalry,19.5,0.9,"Levanta sus grandes orejas para vigilar. Si detecta algo, atacará de inmediato.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/033.png
34,nidoking,veneno,tierra,poison-point,rivalry,62.0,1.4,Es fácil reconocerlo por tener una dura piel y un gran cuerno lleno de peligrosísimo veneno.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/034.png
35,clefairy,hada,None,cute-charm,magic-guard,7.5,0.6,Se dice que la felicidad llegará a quien vea a un grupo de Clefairy bailando a la luz de la luna llena.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/035.png
36,clefable,hada,None,cute-charm,magic-guard,40.0,1.3,Su oído es tan agudo que puede oír una aguja caer a 1 km. Vive en montañas solitarias.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/036.png
37,vulpix,fuego,None,flash-fire,drought,9.9,0.6,"Cuando nace solo tiene una cola, pero a medida que crece, esta se va dividiendo desde la punta.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/037.png
38,ninetales,fuego,None,flash-fire,drought,19.9,1.1,Tiene nueve colas y un pelaje de color dorado. Dicen que este Pokémon llega a vivir 1000 años.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/038.png
39,jigglypuff,normal,hada,cute-charm,competitive,5.5,0.5,Cautiva con la mirada a su enemigo y hace que se quede profundamente dormido mientras entona una dulce melodía.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/039.png
40,wigglytuff,normal,hada,cute-charm,competitive,12.0,1.0,"Su piel es tan suave que si dos de ellos se acurrucan juntos, no querrán separarse nunca.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/040.png
41,zubat,veneno,volador,inner-focus,infiltrator,7.5,0.8,"Aunque carezca de ojos, puede detectar obstáculos con las ondas ultrasónicas que emite su boca.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/041.png
42,golbat,veneno,volador,inner-focus,infiltrator,55.0,1.6,"Cuando ataque, seguirá chupando energía de su víctima, aunque pese tanto que ya no pueda volar.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/042.png
43,oddish,planta,veneno,chlorophyll,run-away,5.4,0.5,"Durante el día, se agazapa en el frío subsuelo huyendo del sol. La luz de la luna le hace crecer mucho.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/043.png
44,gloom,planta,veneno,chlorophyll,stench,8.6,0.8,"¡Huele bastante mal! De todas formas, una de cada mil personas aprecian su fétido olor.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/044.png
45,vileplume,planta,veneno,chlorophyll,effect-spore,18.6,1.2,"Cuanto mayores son sus pétalos, más tóxico es su polen. Le pesa la cabeza y le cuesta mantenerla erguida.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/045.png
46,paras,bicho,planta,effect-spore,dry-skin,5.4,0.3,"Lleva en el lomo dos setas parásitas llamadas tochukaso, que crecen con él.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/046.png
47,parasect,bicho,planta,effect-spore,dry-skin,29.5,1.0,Parasect está dominado por una seta parásita mayor que él. Dispersa esporas venenosas.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/047.png
48,venonat,bicho,veneno,compound-eyes,tinted-lens,30.0,1.0,Sus grandes ojos son en realidad grupos de ojos diminutos. Por la noche se siente atraído por la luz.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/048.png
49,venomoth,bicho,veneno,shield-dust,tinted-lens,12.5,1.5,"Lanza unas escamas que paralizan a cualquiera. Quien las toque, no podrá ni ponerse de pie.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/049.png
50,diglett,tierra,None,sand-veil,arena-trap,0.8,0.2,"Vive un metro por debajo del suelo, donde se alimenta de raíces. También aparece en la superficie.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/050.png
51,dugtrio,tierra,None,sand-veil,arena-trap,33.3,0.7,"En combate, cava la tierra, se esconde y sale de repente para golpear a su rival. Nunca se sabe por dónde puede aparecer.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/051.png
52,meowth,normal,None,pickup,technician,4.2,0.4,Es de naturaleza nocturna. Le atraen los objetos brillantes.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/052.png
53,persian,normal,None,limber,technician,32.0,1.0,"Aunque es muy admirado por el pelo, es difícil de entrenar como mascota, porque es un poco travieso.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/053.png
54,psyduck,agua,None,damp,cloud-nine,19.6,0.8,"Padece continuamente dolores de cabeza. Cuando son muy fuertes, empieza a usar misteriosos poderes.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/054.png
55,golduck,agua,None,damp,cloud-nine,76.6,1.7,Aparece en ríos al anochecer. Puede usar poderes telequinéticos si su frente brilla misteriosamente.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/055.png
56,mankey,lucha,None,vital-spirit,anger-point,28.0,0.5,"Es peligroso acercarse si se enfada sin razón aparente, ya que no distingue entre amigos y enemigos.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/056.png
57,primeape,lucha,None,vital-spirit,anger-point,32.0,1.0,Solo se calma cuando nadie está cerca. Llegar a ver ese momento es realmente difícil.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/057.png
58,growlithe,fuego,None,intimidate,flash-fire,19.0,0.7,"Es muy agradable y leal. Para ahuyentar al enemigo, se pone a ladrar y a dar bocados.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/058.png
59,arcanine,fuego,None,intimidate,flash-fire,155.0,1.9,Un Pokémon muy admirado desde la antigüedad por su belleza. Corre ágilmente como si tuviera alas.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/059.png
60,poliwag,agua,None,water-absorb,damp,12.4,0.6,"Tiene una piel extraordinaria, fina y húmeda, que deja entrever las vísceras que tiene dispuestas en espiral.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/060.png
61,poliwhirl,agua,None,water-absorb,damp,20.0,1.0,Capaz de vivir dentro o fuera del agua. Fuera del agua suda para mantener baboso su cuerpo.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/061.png
62,poliwrath,agua,lucha,water-absorb,damp,54.0,1.3,Tiene músculos muy desarrollados. Es capaz de nadar en el océano sin descanso.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/062.png
63,abra,psíquico,None,synchronize,inner-focus,19.5,0.9,Duerme 18 horas al día y mientras lo hace es capaz de usar una serie de poderes extrasensoriales.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/063.png
64,kadabra,psíquico,None,synchronize,inner-focus,56.5,1.3,"Cuando utiliza su poder psíquico, emite poderosas ondas alfa que pueden destruir dispositivos.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/064.png
65,alakazam,psíquico,None,synchronize,inner-focus,48.0,1.5,"Sus neuronas se multiplican continuamente durante su vida. Por eso, siempre lo recuerda todo.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/065.png
66,machop,lucha,None,guts,no-guard,19.5,0.8,Levanta un Graveler para mantener sus músculos en forma. Domina todas las artes marciales.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/066.png
67,machoke,lucha,None,guts,no-guard,70.5,1.5,Su musculoso cuerpo es tan fuerte que usa un cinto antifuerza para controlar sus movimientos.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/067.png
68,machamp,lucha,None,guts,no-guard,130.0,1.6,Tiene cuatro brazos tan bien desarrollados que puede dar una serie de 1000 puñetazos en cuestión de dos segundos.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/068.png
69,bellsprout,planta,veneno,chlorophyll,gluttony,4.0,0.7,"Aunque su cuerpo es extremadamente delgado, es muy rápido a la hora de capturar sus presas.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/069.png
70,weepinbell,planta,veneno,chlorophyll,gluttony,6.4,1.0,Las hojas que tiene actúan como cuchillas en combate. Otra de sus armas es el corrosivo fluido que expulsa.,1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/070.png
71,victreebel,planta,veneno,chlorophyll,gluttony,15.5,1.7,"Dicen que vive en grandes colonias en el interior de las junglas, aunque nadie ha podido verificarlo.",1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/071.png
